,is_sarcastic,titles,article_link
0,0,Coloradans Are Getting Mysterious Texts Bashing Democratic Senate Candidate John Hickenlooper,https://www.huffpost.com/entry/hickenlooper-colorado-senate-mystery-texts_n_5eecfe1ec5b6de061bd1458e
1,0,I've Decided To Come Out To The World As Genderfluid After Nearly Dying From COVID-19,https://www.huffpost.com/entry/genderfluid-coming-out-coronavirus_n_5ee256f1c5b68d459bca885a
2,0,IBM To End Facial Recognition Business And Oppose Use For Surveillance By Police,https://www.huffpost.com/entry/ibm-facial-recognition_n_5edeefc4c5b6fdc1523d16ba
3,0,Sophie Turner Schools Commenter Questioning Black Lives Matter Protests,https://www.huffpost.com/entry/sophie-turner-schools-commenter-questioning-black-lives-matter-protests_n_5ede29ecc5b6ded86fb81a6e
4,0,Bronx Rep. Eliot Engel’s Hot Mic Moment Gives Progressive Opponent An Opening,https://www.huffpost.com/entry/eliot-engel-hot-mic-comments-jamaal-bowman-democratic-primary-bronx_n_5ed70746c5b6aade1be3af27
5,0,Colbert Nails Why Trump Likes Military Bases Named For 'Old Racist Guys',https://www.huffpost.com/entry/stephen-colbert-donald-trump-military-bases-racist_n_5ee34ae2c5b63db52533db04
6,0,Facebook To Label State-Controlled Media Organizations,https://www.huffpost.com/entry/facebook-state-controlled-media-label_n_5ed92a7ac5b6a832ca8bda5e
7,0,Christopher Columbus Statue Beheaded In Boston Park,https://www.huffpost.com/entry/christopher-columbus-boston-statue-beheading_n_5ee0f143c5b6cdc3fd4370ee
8,0,Ferguson Just Elected Its First Black Mayor,https://www.huffpost.com/entry/ferguson-missouri-first-black-mayor_n_5ed704bfc5b67913aa26af25
9,0,"North Korea Attacks Inter-Korean Liaison Office, South Korea Says",https://www.huffpost.com/entry/north-korea-south-korea-dmz_n_5ee86976c5b6da4ae60d594a
10,0,Barack And Michelle Obama Advise Graduates How To Utilize Turmoil,https://www.huffpost.com/entry/barack-michelle-obama-high-school-graduates-2020_n_5ede4c94c5b64a0a73d85274
11,0,Matt James Named First Black Lead Of 'The Bachelor',https://www.huffpost.com/entry/the-bachelor-matt-james-first-black-lead_n_5ee379dcc5b6f2cb034fbed3
12,0,Investing In Harm Reduction Must Be Included In The Movement To Defund Police,https://www.huffpost.com/entry/defund-police-harm-reduction_n_5ee12433c5b6d2832d22adc2
13,0,"Keith Ellison, Once An Activist, Meets His Moment As Minnesota’s Top Prosecutor",https://www.huffpost.com/entry/minnesota-attorney-general-keith-ellison-meets-his-moment-george-floyd-minneapolis_n_5ee2a2bbc5b67266c4d5d4bc
14,0,Tom Cotton Says Trump Should Deploy U.S. Military To Contain Protests,https://www.huffpost.com/entry/george-floyd-military-cotton_n_5ed511f3c5b677940f138a81
15,0,Joe Biden Raised More Money Than Donald Trump For The First Time,https://www.huffpost.com/entry/joe-biden-raised-more-money-than-donald-trump-for-the-first-time_n_5eee1ffec5b6a10e6b6e89a0
16,0,George Floyd's Son Visits Site Where Father Was Killed: 'We Want Justice',https://www.huffpost.com/entry/george-floyd-family-cup-foods_n_5ed7d094c5b61449018d8cca
17,0,I'm At Home With A Profoundly Disabled Child And I'm Afraid I Can't Meet His Needs,https://www.huffpost.com/entry/homeschooling-disabled-children-coronavirus_n_5e87c846c5b6cc1e477556f5
18,0,Book By Trump’s Niece To Reveal He ‘Derided’ Father’s Alzheimer’s Struggles,https://www.huffpost.com/entry/mary-donald-fred-trump-alzheimers_n_5ee99d27c5b6f54b3eac4a17
19,0,NYPD To Reassign 600 ‘Anti-Crime’ Plainclothes Officers Amid Protests,https://www.huffpost.com/entry/nypd-anti-crime-officers-reassigned-reform_n_5ee807fec5b6dad91fdf4f16
20,0,Lea Michele Apologizes After 'Glee' Co-Star Blasts Her On-Set Behavior,https://www.huffpost.com/entry/lea-michele-glee-behavior-apology_n_5ed795fbc5b6b7b4b6c3f581
21,0,HBO Max Pulls 'Gone With The Wind' For 'Racist Depictions',https://www.huffpost.com/entry/hbo-max-gone-with-the-wind_n_5ee0b363c5b6faafc92bae99
22,0,Coronavirus Live Updates: Read The Latest About The COVID-19 Outbreak,https://www.huffpost.com/entry/covid-19-latest-news-around-world_n_5eea17ccc5b69322bc19a3b7
23,0,Trump Defends Church Photo Op: ‘I Think It Was Very Symbolic’,https://www.huffpost.com/entry/trump-defends-bible-church-photo-op_n_5ed7cbfbc5b6a4143c45dbcb
24,0,Zoomers Boast They Sabotaged Trump Rally Turnout With Fake Reservations,https://www.huffpost.com/entry/tik-tok-kpop-zoomer-trump-rally-tulsa_n_5eeee1e2c5b65038ef03a9f5
