,is_sarcastic,titles,article_link
0,1,Mental Health Experts Advise On Best Ways To Combat Intrusive Thoughts Of Your Father Naked,https://www.theonion.com/mental-health-experts-advise-on-best-ways-to-combat-int-1844094554
1,1,The Onion’s Father’s Day Gift Guide For The Dad Who Has It All,https://www.theonion.com/the-onion-s-father-s-day-gift-guide-for-the-dad-who-has-1844094456
2,1,Staples Center Employee Realizes He Left Shot Clock Buzzer On This Whole Time,https://sports.theonion.com/staples-center-employee-realizes-he-left-shot-clock-buz-1844086737
3,1,Father’s Day Gifts That Will Make Your Dad Feel Exactly The Way He Already Feels,https://www.theonion.com/father-s-day-gifts-that-will-make-your-dad-feel-exactly-1844086581
4,1,"Huh, Boyfriend’s Ex Just Made Interesting Hair Choice",https://www.theonion.com/huh-boyfriend-s-ex-just-made-interesting-hair-choice-1844086539
5,1,Mom Comes Back From Long Call With Friend Looking Real Sad,https://local.theonion.com/mom-comes-back-from-long-call-with-friend-looking-real-1844086509
6,1,"‘It’s Perfect Outside,’ Announces Sweating Woman Slowly Losing Consciousness In Middle Of Heatstroke",https://www.theonion.com/it-s-perfect-outside-announces-sweating-woman-slowly-1844086472
7,1,Man Hates How Hot Dog-Eating Contests Reduce Art Of Eating Hot Dogs To A Competition,https://www.theonion.com/man-hates-how-hot-dog-eating-contests-reduce-art-of-eat-1844072466
8,1,Kristen Stewart To Play Princess Diana In Upcoming Biopic,https://www.theonion.com/kristen-stewart-to-play-princess-diana-in-upcoming-biop-1844086408
9,1,Resigned Pew Research Study Has No Fucking Clue What’s Going On With 15% Of Americans,https://www.theonion.com/resigned-pew-research-study-has-no-fucking-clue-what-s-1844086331
10,1,"Aunt Jemima, Mrs. Butterworth, Uncle Ben’s Brands To Be Overhauled",https://www.theonion.com/aunt-jemima-mrs-butterworth-uncle-ben-s-brands-to-be-1844086252
11,1,Traveling Contortionist Excited To Get Off The Road And Finally Stop Living Inside Suitcase,https://www.theonion.com/traveling-contortionist-excited-to-get-off-the-road-and-1844083045
12,1,White House Toilet Doesn’t Know If It Can Handle Another 4 Years Of Trump,https://www.theonion.com/white-house-toilet-doesn-t-know-if-it-can-handle-anothe-1844082720
13,1,Kentucky Attorney General So Starstruck By Letter From Beyoncé He Unable To Even Read What It’s About,https://www.theonion.com/kentucky-attorney-general-so-starstruck-by-letter-from-1844081669
14,1,Researchers Find Crows Smart Enough Not To Let On How Smart They Really Are,https://www.theonion.com/researchers-find-crows-smart-enough-not-to-let-on-how-s-1844081510
15,1,Sony Reveals PS5 Fully Customizable With Different Little Hats,https://ogn.theonion.com/sony-reveals-ps5-fully-customizable-with-different-litt-1844079495
16,1,‘And What Do We Want To Do About This Nest Full Of Baby Sparrows?’ Asks Barber Giving Man His First Haircut In 6 Months,https://local.theonion.com/and-what-do-we-want-to-do-about-this-nest-full-of-baby-1844072541
17,1,Report: This A Goddamn Walk In The Park Compared To What’s Coming In 2027,https://www.theonion.com/report-this-a-goddamn-walk-in-the-park-compared-to-wha-1844072501
18,1,Jimmy Carter Checks Into Rehab For Debilitating House-Building Addiction,https://www.theonion.com/jimmy-carter-checks-into-rehab-for-debilitating-house-b-1844078480
19,1,American Airlines Suspends Alcohol Service For Economy Class,https://www.theonion.com/american-airlines-suspends-alcohol-service-for-economy-1844078424
20,1,Georgia Secretary Of State Vows To Investigate Why Some Residents Forced To Wait 2 Centuries To Vote,https://politics.theonion.com/georgia-secretary-of-state-vows-to-investigate-why-some-1843981174
21,1,Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue,https://politics.theonion.com/congress-announces-willingness-to-offer-black-lives-mat-1843954280
22,1,Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’,https://politics.theonion.com/democratic-leaders-announce-that-they-ve-learned-the-wo-1843882322
23,1,"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone",https://politics.theonion.com/she-needs-a-bible-now-fuckwad-yes-it-s-for-an-epic-c-1843862969
24,1,"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates",https://politics.theonion.com/dnc-to-streamline-fundraising-by-cutting-out-unnecessar-1843681760
25,1,Pros And Cons Of Voting By Mail,https://politics.theonion.com/pros-and-cons-of-voting-by-mail-1843568379
26,1,Biden Campaign Email Trails Off Halfway Through,https://politics.theonion.com/biden-campaign-email-trails-off-halfway-through-1843444941
27,1,Biden Campaign Considering Using The Internet To Attract Voters,https://politics.theonion.com/biden-campaign-considering-using-the-internet-to-attrac-1843291116
